Cod_Cliente,COM,ED,SX,NIV_EDUC,RENTA,E_CIVIL,VIG,TRX_T,TRX_T-1,TRX_T-2,SALDO_T,SALDO_T-1,SALDO_T-2,SALDO_T-3,SALDO_T-4,SALDO_T-5,CERRO
1,88,86.2,M       ,UNV     ,1900,CAS     ,262,27,15,24,48073799.25,903165.45,808209.0,4365589.05,3703754.29,2153243.04,0
2,66,82.4,M       ,MED     ,250,CAS     ,72,21,23,49,60369.29,43859.5,39065.1,55232.43,223181.43,0.0,1
3,5,72.2,M       ,UNV     ,700,CAS     ,187,24,9,27,67877.14,-106620.7,170602.48,180041.05,248783.81,546633.81,1
4,66,81.0,M       ,UNV     ,440,SOL     ,130,21,12,18,6543424.05,7259501.0,7176502.29,23091898.57,18446246.67,19383065.22,0
5,81,64.4,M       ,UNV     ,650,CAS     ,36,14,17,27,5501529.0,6822243.86,10946776.71,23671060.95,15813760.48,20792048.26,0
6,70,83.3,F       ,MED     ,300,VIU     ,172,20,16,17,4045266.0,4099269.57,5237084.14,18536092.38,18969546.19,14693940.0,0
7,284,83.2,M       ,UNV     ,3000,CAS     ,41,15,48,63,3968058.95,7611219.5,11599905.05,13159709.9,59477847.14,34376368.57,1
8,157,86.1,M       ,MED     ,500,CAS     ,258,17,15,19,1176604.8,564112.57,435611.71,784085.71,572697.14,471031.3,0
9,272,84.3,F       ,MED     ,280,CAS     ,165,6,6,7,844724.29,226704.8,1143767.52,1036746.57,7664646.67,7098431.43,1
10,88,75.0,F       ,MED     ,656,CAS     ,27,19,11,11,4949511.62,2144575.9,1250582.67,591049.52,2823866.67,2866200.0,1
11,90,77.8,F       ,MED     ,1000,VIU     ,96,23,31,29,2594662.35,2490567.3,2450503.57,9945378.57,12615800.95,16962652.17,0
12,89,79.7,M       ,UNV     ,350,VIU     ,366,60,54,60,3985868.55,4314161.25,6649139.14,12799498.1,21962912.38,13827604.78,0
13,88,85.9,M       ,UNV     ,1879,CAS     ,32,1,0,3,549513.43,239102.0,210996.0,189201.57,1729520.0,0.0,1
14,16,49.6,F       ,MED     ,400,CAS     ,349,8,4,16,496925.4,341938.65,1406230.14,3417648.1,1181871.43,2439170.44,0
15,118,75.9,M       ,TEC     ,310,CAS     ,162,4,3,7,519384.48,583068.75,587334.95,844516.62,7964995.24,0.0,1
16,1,73.0,M       ,MED     ,370,CAS     ,156,41,10,41,1876085.25,1197326.25,313730.29,51088.1,23211.91,1284157.83,0
17,88,81.0,F       ,MED     ,450,CAS     ,39,12,29,27,111816.95,123599.1,538009.6,307280.57,54679.05,-478074.29,1
18,88,70.2,M       ,MED     ,1300,CAS     ,211,4,3,17,3285276.81,2564092.0,2442200.2,2003542.95,49148.57,0.0,1
19,86,75.8,M       ,MED     ,1200,CAS     ,97,105,32,79,16236617.25,26339218.2,32554700.57,54282558.1,52603942.86,68013559.13,0
20,88,53.7,M       ,UNV     ,400,CAS     ,178,23,23,23,999784.8,975612.86,905605.29,3670597.62,3806559.52,3496039.57,0
21,66,62.8,M       ,UNV     ,982,CAS     ,121,8,14,13,441437.55,381037.14,2165144.86,2944391.91,1665621.91,1120809.13,0
22,164,75.9,M       ,MED     ,250,CAS     ,90,35,18,64,169122.38,63168.0,114480.7,2111613.29,5024783.81,0.0,1
23,88,71.4,M       ,MED     ,500,CAS     ,32,22,21,10,4008928.57,3880000.0,5952380.95,6521904.76,24378095.24,25938095.24,1
24,89,70.1,F       ,UNV     ,1090,SOL     ,60,5,7,14,106532.71,81034.15,29499.67,40273.52,1327259.52,0.0,1
25,89,72.9,M       ,UNV     ,1500,VIU     ,41,16,11,20,23995710.75,8247736.8,2289828.71,12361170.95,17933759.52,17617336.96,0
26,85,70.8,M       ,MED     ,400,CAS     ,202,42,37,84,349724.55,311390.0,321428.57,1234387.62,1571222.86,1703013.04,0
27,226,73.3,M       ,MED     ,677,CAS     ,93,21,33,28,112434.6,75371.0,148916.71,452659.05,-36911.91,-33862.17,0
28,49,74.3,M       ,MED     ,800,CAS     ,311,52,31,34,1973095.2,1921827.43,1633253.0,4242939.05,23968599.52,25251525.65,0
29,31,72.6,M       ,MED     ,550,CAS     ,21,29,34,42,99301.19,81040.25,83162.14,104918.86,725608.1,0.0,1
30,85,80.2,M       ,MED     ,350,CAS     ,80,0,3,2,627870.0,627870.0,627870.0,627870.0,3139350.0,3139350.0,1
31,85,72.6,M       ,MED     ,300,CAS     ,119,90,54,16,357849.0,255820.14,387794.86,1953923.81,1702547.14,1213808.7,0
32,105,69.9,M       ,MED     ,470,SEP     ,25,78,76,75,266269.65,302346.29,344091.71,1235581.91,1578305.71,1331840.44,0
33,1,71.1,M       ,MED     ,1500,CAS     ,262,20,16,21,280403.62,316338.5,426630.0,1594622.95,2900430.95,956050.0,1
34,70,75.2,M       ,MED     ,1035,CAS     ,164,18,86,129,336210.05,695255.0,643841.1,696811.86,2744719.52,0.0,1
35,86,72.9,M       ,UNV     ,1017,CAS     ,35,36,22,19,197685.3,215758.14,766927.71,2591795.24,2284984.76,2286066.52,0
36,89,67.1,M       ,MED     ,429,CAS     ,8,7,6,11,4438985.9,1874208.2,722674.0,347185.81,737006.57,826906.86,1
37,93,70.6,M       ,UNV     ,890,SEP     ,144,18,9,32,432274.95,340563.8,272034.48,216630.38,1191155.71,0.0,1
38,80,65.9,M       ,TEC     ,400,CAS     ,298,24,6,36,7497786.0,5062042.71,4490165.0,22415870.0,28730088.57,27524059.57,0
39,85,57.0,M       ,TEC     ,732,CAS     ,148,45,24,25,3459576.45,4481570.25,14329514.29,16962414.76,13140065.71,10679903.91,0
40,131,66.7,M       ,MED     ,300,CAS     ,232,39,26,32,149213.85,115612.57,224573.86,654268.57,552617.62,600390.44,0
41,88,60.2,M       ,UNV     ,2100,CAS     ,154,12,10,16,0.0,0.0,0.0,0.0,0.0,0.0,1
42,90,69.0,M       ,TEC     ,500,CAS     ,205,25,20,23,4560152.7,4963987.71,4462775.86,11783975.71,12174742.86,13741208.7,0
43,213,69.3,M       ,UNV     ,770,CAS     ,176,45,41,44,3456099.15,3836176.71,6533008.0,16291533.33,19414131.43,29213254.78,0
44,93,64.7,M       ,UNV     ,800,CAS     ,120,176,142,80,15939667.25,14993181.25,23819424.05,28645865.24,86020611.43,91882240.0,0
45,284,67.6,F       ,MED     ,470,VIU     ,73,133,126,107,700456.2,899592.3,541885.29,1408423.81,1552041.91,1283866.09,0
46,98,68.6,F       ,TEC     ,254,CAS     ,340,5,2,9,553686.0,838328.86,853328.86,2606398.57,3763952.86,4826531.74,0
47,89,46.7,M       ,TEC     ,1400,SOL     ,144,9,12,19,203383.52,175228.9,342519.05,382065.14,2070392.86,0.0,1
48,16,65.9,M       ,MED     ,350,CAS     ,293,22,13,14,1377256.65,2658837.43,3953726.71,7734188.57,7242655.24,4956526.09,0
49,173,61.8,M       ,UNV     ,4451,CAS     ,260,1,1,3,64590.0,88439.0,101086.57,-96667.9,801635.24,950834.76,1
50,261,65.9,F       ,MED     ,1000,CAS     ,90,45,5,4,0.0,0.0,0.0,0.0,0.0,682808.7,0
51,86,68.6,M       ,UNV     ,1073,CAS     ,5,8,0,5,0.0,6050.4,3837.14,2554.0,2586.0,0.0,1
52,260,69.9,F       ,TEC     ,595,CAS     ,9,43,29,38,5452080.75,5368902.0,3782374.29,4263817.43,3187050.57,3871737.91,0
53,226,64.8,M       ,TEC     ,569,SEP     ,20,24,16,22,195024.9,283179.6,237212.71,451372.38,270221.43,348496.09,0
54,86,66.0,M       ,UNV     ,3334,CAS     ,52,38,29,25,70631.95,14235.75,29106.1,109437.86,757137.14,0.0,1
55,254,51.8,F       ,UNV     ,800,CAS     ,200,90,76,83,10345647.45,9274242.75,8968443.29,24759613.33,24481958.1,24973584.35,0
56,67,60.9,F       ,MED     ,350,VIU     ,47,11,14,17,1914041.85,2503282.14,2151408.29,3127390.95,3146930.0,2541083.04,0
57,31,64.7,F       ,MED     ,600,SOL     ,323,74,68,59,20770957.95,21070204.95,24202097.86,64407929.05,85196703.33,43097624.35,0
58,92,65.9,M       ,TEC     ,300,CAS     ,133,7,12,23,853560.62,590410.0,574480.33,1218334.76,4384480.48,0.0,1
59,85,62.3,F       ,TEC     ,400,VIU     ,144,63,90,76,3079555.8,2572209.71,2531918.29,8151669.05,10694315.24,7111050.0,0
60,67,62.3,F       ,TEC     ,1100,CAS     ,7,3,69,82,62054.76,242544.1,93123.6,16375.0,0.0,0.0,1
61,117,64.7,M       ,MED     ,344,CAS     ,33,25,17,19,481839.45,448755.15,567147.86,1750404.76,1840903.81,1696515.22,0
62,80,64.6,M       ,MED     ,900,CAS     ,53,20,18,23,5623681.24,2525270.7,1367760.67,748885.81,3373848.1,2730157.14,1
63,173,66.9,F       ,TEC     ,540,CAS     ,139,32,33,35,369878.4,676358.55,279825.29,2241883.33,865466.67,1259175.65,0
64,272,62.7,F       ,UNV     ,480,VIU     ,234,63,38,37,2539218.75,2062989.71,939094.43,2788940.95,3458042.86,3215187.83,0
65,31,61.7,M       ,MED     ,1600,CAS     ,38,3,17,20,220540.48,550541.3,222996.55,1936324.14,20341740.95,0.0,1
66,31,68.1,M       ,MED     ,350,CAS     ,48,20,27,20,418392.9,663210.3,402992.0,3861309.52,4159044.76,3729993.91,0
67,25,59.6,M       ,UNV     ,1214,CAS     ,50,6,7,15,3337572.95,5330103.6,5186848.0,1276755.81,13671887.62,0.0,1
68,182,62.3,F       ,UNV     ,376,CAS     ,10,11,8,12,249029.14,52369.6,61580.57,101323.52,427932.19,1359855.62,1
69,130,65.7,M       ,MED     ,401,CAS     ,27,5,4,16,182960.71,209713.65,200268.1,139126.1,1089965.71,0.0,1
70,85,63.1,M       ,UNV     ,800,CAS     ,109,36,36,27,1144685.85,809036.25,1009027.29,3658270.48,2563816.67,2506881.3,0
71,81,68.3,F       ,UNV     ,300,SOL     ,274,34,27,32,25177.5,33495.0,633985.71,464040.48,222163.33,316195.65,0
72,92,63.6,M       ,MED     ,770,CAS     ,31,18,26,20,250298.52,305084.5,319127.45,461207.9,7009288.57,0.0,1
73,91,62.6,F       ,TEC     ,800,CAS     ,37,5,6,5,21305.1,7846.8,0.0,0.0,0.0,0.0,0
74,89,63.1,F       ,UNV     ,1190,SOL     ,39,6,31,39,2853879.38,2053718.55,1448854.76,1219704.71,7880499.05,0.0,1
75,105,68.4,F       ,MED     ,750,CAS     ,8,10,21,14,4278163.52,4434608.5,4420564.29,4321402.48,15040208.0,9692158.0,1
76,5,62.6,M       ,UNV     ,2000,CAS     ,120,8,17,17,123313.9,-80469.0,-128989.0,-98428.48,-144036.19,-492061.91,1
77,115,62.9,M       ,BAS     ,594,CAS     ,11,15,11,9,2758635.75,2116775.0,1363163.14,2656968.38,2843033.9,3588836.52,0
78,92,62.8,M       ,TEC     ,2000,CAS     ,45,29,3,9,12517.62,-10069.6,50373.0,122892.24,1370445.71,0.0,1
79,88,61.3,M       ,UNV     ,900,CAS     ,41,20,32,42,176158.38,429582.8,986380.8,1560681.14,7078405.71,5069038.57,1
80,324,65.3,M       ,BAS     ,766,CAS     ,34,19,12,9,8372.0,102621.05,111470.5,3866.76,138250.0,0.0,1
81,100,64.3,M       ,UNV     ,705,CAS     ,20,22,8,15,49716.76,96998.2,156687.43,503237.81,661549.05,567763.33,1
82,70,61.9,M       ,MED     ,745,CAS     ,144,69,62,64,49848.29,61435.15,113771.05,34816.33,516109.52,0.0,1
83,29,57.8,F       ,UNV     ,703,SEP     ,23,46,27,30,341154.75,541229.29,1592957.14,6402440.95,10146838.1,11045589.13,0
84,20,61.0,F       ,UNV     ,500,CAS     ,150,40,27,42,3715489.35,1625603.25,1076868.0,2530460.95,3794995.71,4176783.48,0
85,67,64.0,M       ,MED     ,350,CAS     ,175,34,51,16,9466856.7,6921208.2,3629658.57,11547342.86,14962788.57,12059941.74,0
86,93,61.6,M       ,MED     ,1126,CAS     ,143,42,44,35,607888.2,362041.57,746511.71,2612646.19,3069611.43,3238318.7,0
87,314,64.3,M       ,MED     ,500,CAS     ,12,20,21,13,974323.5,146655.57,610636.29,2451000.86,2243331.0,2125054.96,0
88,80,59.2,M       ,TEC     ,585,CAS     ,54,15,1,21,29450.1,-66696.05,-87678.1,-1590.48,-357765.24,0.0,1
89,106,60.7,M       ,UNV     ,600,SEP     ,4,7,5,34,0.0,0.0,0.0,0.0,0.0,0.0,1
90,148,62.1,M       ,TEC     ,548,CAS     ,103,20,27,8,305703.71,31294.7,0.0,16836.48,108558.57,0.0,1
91,59,62.7,F       ,MED     ,911,CAS     ,10,11,8,13,32332.14,20279.4,19890.1,42887.9,508489.9,0.0,1
92,61,60.4,M       ,UNV     ,430,CAS     ,12,18,1,46,17230824.38,9650838.4,7423009.6,2379771.05,-3885.72,0.0,1
93,182,63.1,M       ,MED     ,478,CAS     ,34,32,46,46,12202.43,46706.2,83002.7,76443.48,821198.57,0.0,1
94,193,65.6,F       ,MED     ,590,SEP     ,16,156,136,145,929870.7,1073418.57,1630482.43,3202868.1,3174538.1,3020644.78,0
95,93,61.7,F       ,UNV     ,605,CAS     ,68,22,20,20,1664244.0,1603972.35,2379424.14,5153714.29,5055297.62,4881636.96,0
96,80,63.0,M       ,MED     ,573,CAS     ,35,36,29,33,1102434.9,1088407.57,3657744.43,15110297.62,10774100.0,9377484.78,0
97,301,70.6,M       ,MED     ,1500,CAS     ,136,62,32,65,1589734.65,2658684.6,1981482.86,1887207.14,2484353.33,4066120.0,0
98,106,61.1,M       ,MED     ,350,CAS     ,184,56,30,30,983813.25,257715.29,572583.57,129148.57,499855.71,513388.26,0
99,119,62.7,M       ,MED     ,500,CAS     ,106,14,13,24,5093803.65,5769672.45,2675549.86,14975789.52,29303720.95,14069330.44,0
100,16,59.6,M       ,TEC     ,1300,CAS     ,214,31,25,23,4565863.35,4316168.55,3806886.43,14327248.1,12017814.29,8888617.39,0
101,300,64.6,M       ,UNV     ,610,CAS     ,235,51,53,56,601432.05,531289.35,726947.43,4047883.81,1880035.71,2702612.61,0
102,86,60.9,M       ,MED     ,702,CAS     ,41,14,23,18,407062.29,452826.4,265213.24,237049.33,2092892.86,2035598.57,1
103,90,51.7,M       ,UNV     ,2853,CAS     ,45,13,5,9,1017392.25,975203.43,748541.0,2154283.33,2726463.33,5488241.3,0
104,120,62.1,F       ,TEC     ,500,CAS     ,58,79,71,73,710671.35,932184.0,1449908.14,5152454.76,3861594.76,3832282.17,0
105,29,61.7,M       ,UNV     ,2065,CAS     ,115,60,67,54,574475.81,1279697.0,567477.95,776367.76,4104045.71,0.0,1
106,100,66.9,F       ,MED     ,400,VIU     ,158,67,42,35,261149.1,761058.0,290546.43,898220.48,2005420.0,1221224.78,0
107,85,61.3,F       ,TEC     ,700,CAS     ,26,0,13,19,1200660.76,3230092.6,1076138.3,991539.14,11974972.38,1845580.0,1
108,67,62.0,M       ,MED     ,450,CAS     ,180,56,54,43,491502.6,771283.29,904586.0,3312545.71,1749935.24,2041006.09,0
109,86,60.4,F       ,MED     ,540,CAS     ,43,12,8,7,112429.24,115768.4,99040.0,117910.86,577781.91,323916.19,1
110,213,51.9,F       ,UNV     ,810,SOL     ,65,29,21,15,589762.86,276998.8,377998.29,264313.86,1351400.95,0.0,1
111,87,55.6,M       ,TEC     ,2460,CAS     ,70,15,17,42,4111499.7,3591217.29,5582145.86,45248202.38,17351723.33,12778053.91,0
112,71,56.3,F       ,MED     ,480,CAS     ,104,45,47,33,3486994.05,3630223.2,5193096.0,18075699.05,34101179.05,15170154.78,0
113,284,57.7,M       ,MED     ,2000,CAS     ,177,24,56,58,4595227.5,1323025.14,1036065.29,6809443.33,3174292.38,2107873.48,0
114,67,58.3,M       ,MED     ,370,SOL     ,112,2,12,17,200855.14,118956.5,198301.3,1296456.86,2406521.43,32031.91,1
115,88,57.0,M       ,UNV     ,1600,CAS     ,339,59,64,40,1892423.1,1669911.71,5779591.0,27251861.91,20439824.76,13783600.44,0
116,88,54.8,M       ,TEC     ,1200,CAS     ,71,130,88,96,6387481.95,5938325.43,6278170.71,37377196.19,23428153.81,13555244.35,0
117,55,58.9,M       ,MED     ,352,CAS     ,28,26,11,18,67990.65,114075.14,175605.71,299431.91,302830.48,1049797.39,0
118,74,60.3,M       ,TEC     ,667,SOL     ,79,1,4,2,0.0,21428.57,22065.86,56240.0,48510.0,48249.13,0
119,11,58.2,M       ,MED     ,540,CAS     ,176,63,31,29,641825.4,348220.71,1191678.57,5708683.81,2822880.95,7059524.78,0
120,13,57.1,M       ,MED     ,1230,CAS     ,194,60,47,65,1637832.45,494148.71,766014.57,2290376.67,2111570.0,774833.48,0
121,13,57.2,M       ,MED     ,692,CAS     ,56,8,17,13,2380.95,18734.7,27411.0,20586.24,290548.57,0.0,1
122,272,57.8,M       ,UNV     ,1200,CAS     ,194,142,73,112,1199227.35,1169770.71,820283.14,4014058.1,3373507.62,4212888.26,0
123,80,64.1,M       ,UNV     ,700,CAS     ,40,17,6,16,-1126.19,24334.75,33328.33,29480.24,-101368.1,0.0,1
124,105,44.8,M       ,UNV     ,2200,CAS     ,189,39,31,28,705792.45,415882.2,109363.57,129021.43,1354894.29,830985.65,0
125,85,60.1,F       ,UNV     ,365,VIU     ,43,68,93,86,1472043.0,1487726.4,1444599.0,2444962.38,1240555.71,1824610.44,0
126,89,57.4,M       ,MED     ,1991,CAS     ,140,31,2,18,0.0,0.0,0.0,13170.0,294756.19,0.0,1
127,93,64.6,F       ,UNV     ,470,CAS     ,39,6,6,14,1240377.0,678313.86,422163.43,4437711.43,1059360.0,1459378.7,0
128,31,59.6,M       ,UNV     ,416,CAS     ,117,53,52,56,0.0,49841.85,23773.29,69500.0,298302.38,187960.0,0
129,89,55.6,M       ,UNV     ,800,CAS     ,9,4,3,0,17947.35,13311.0,9513.0,8874.0,1655.71,0.0,0
130,21,57.6,M       ,MED     ,355,CAS     ,249,23,31,53,9560225.85,6112831.05,4793680.29,17885875.71,15983854.76,18448217.83,0
131,105,56.8,M       ,TEC     ,654,CAS     ,26,12,11,16,37504.05,213151.14,88518.0,436366.19,111267.14,498633.04,0
132,81,61.9,F       ,UNV     ,400,SOL     ,22,6,8,7,157170.0,199867.86,223457.14,554113.33,961480.0,772613.48,0
133,226,59.2,M       ,MED     ,440,CAS     ,13,26,12,17,386167.95,524016.71,592553.43,1243874.76,1783960.0,6898500.87,0
134,29,58.4,F       ,MED     ,451,CAS     ,76,54,70,63,381406.05,652139.7,1899193.0,2589386.19,1116417.14,613725.22,0
135,89,54.9,F       ,TEC     ,420,CAS     ,71,41,33,24,325119.45,183549.14,461994.57,978735.24,1119659.05,947609.57,0
136,105,55.2,M       ,MED     ,608,CAS     ,308,13,10,23,1021667.81,1575653.4,1006289.2,637167.9,332839.52,280689.52,1
137,53,55.6,F       ,MED     ,450,SEP     ,9,55,42,21,2819559.45,3640299.43,3066138.57,5580211.43,5310937.71,4080904.43,0
138,67,58.8,M       ,MED     ,380,VIU     ,51,8,5,22,979417.5,962183.29,936891.0,2277061.43,1926049.52,3182935.22,0
139,80,53.7,F       ,TEC     ,469,SEP     ,45,57,46,53,861749.1,2231554.8,1953450.14,5148308.57,6262099.52,11795699.13,0
140,95,56.3,F       ,MED     ,422,SOL     ,29,72,65,71,183370.65,233743.05,269132.0,4002752.38,5116758.57,1866411.74,0
141,89,58.9,F       ,UNV     ,500,VIU     ,27,13,31,23,-55741.5,19914.71,87647.86,-3678.1,-198983.81,77786.52,0
142,326,53.2,M       ,MED     ,360,CAS     ,47,9,8,18,71192.71,168330.25,105882.24,42215.1,25656.19,0.0,1
143,21,56.1,M       ,UNV     ,500,CAS     ,50,6,7,15,3337572.95,5330103.6,5186848.0,1276755.81,13671887.62,0.0,1
144,314,59.4,M       ,UNV     ,792,CAS     ,140,76,77,74,1591208.55,1770796.14,2200013.14,8508964.76,6116609.05,6615693.91,0
145,226,53.2,M       ,TEC     ,1550,CAS     ,98,13,7,17,8935954.48,14016552.8,2157724.9,612424.33,1986094.29,0.0,1
146,261,55.4,M       ,MED     ,450,CAS     ,3,48,30,14,0.0,0.0,0.0,-130000.89,534270.9,1238645.33,1
147,105,49.6,F       ,MED     ,400,CAS     ,107,19,8,26,271652.48,3113.2,3582.48,4761.9,-389538.57,0.0,1
148,110,54.7,M       ,MED     ,540,CAS     ,37,52,30,20,196450.05,248535.3,96640.57,681213.81,1802803.33,325950.44,0
149,100,54.8,M       ,UNV     ,1572,CAS     ,173,80,68,75,7668393.15,3591511.2,536525.29,905531.43,1913680.48,4743196.09,0
150,272,57.2,M       ,UNV     ,1378,CAS     ,47,4,3,12,3362663.71,3623928.0,3470712.5,1758760.14,4390350.0,0.0,1
151,29,57.1,F       ,MED     ,351,CAS     ,33,8,11,5,6879334.2,6668227.2,7619109.0,21946394.76,24122094.29,23437826.52,0
152,89,55.7,M       ,UNV     ,1380,CAS     ,98,50,40,58,105399.15,264295.2,370880.86,439748.57,200902.86,289703.48,0
153,5,57.1,M       ,MED     ,750,CAS     ,38,21,18,19,10078.9,12942.1,30428.57,125895.9,88228.1,0.0,1
154,29,54.6,M       ,TEC     ,3800,CAS     ,48,8,10,12,4784145.9,3525624.0,1444300.19,3472528.76,53712785.24,0.0,1
155,280,56.2,M       ,TEC     ,721,CAS     ,38,24,13,11,3215995.2,3869401.95,3001542.57,7376810.95,11253882.86,10404998.26,0
156,80,56.9,F       ,TEC     ,450,SEP     ,30,42,16,26,1581911.85,652731.71,1041802.14,5236532.86,13210845.24,8501098.7,0
157,272,56.8,M       ,UNV     ,1220,CAS     ,164,7,7,10,0.0,0.0,0.0,0.0,0.0,0.0,1
158,94,53.3,M       ,TEC     ,772,CAS     ,59,4,10,4,14007.19,407.9,0.0,0.0,0.0,0.0,1
159,13,52.1,M       ,MED     ,500,CAS     ,266,21,24,24,8250.0,89720.85,475575.86,532660.48,326078.1,98359.13,0
160,35,56.1,M       ,MED     ,600,CAS     ,23,11,3,17,11490776.4,12207291.9,14672208.43,41094712.38,10611132.38,22408374.78,0
161,16,52.7,M       ,TEC     ,420,CAS     ,265,80,73,81,3141709.35,2751605.7,4532672.86,21122984.76,21360795.24,27841561.74,0
162,85,51.1,M       ,UNV     ,750,CAS     ,36,3,3,10,1065.71,915.6,900.1,0.0,0.0,0.0,1
163,1,54.3,F       ,UNV     ,572,SOL     ,45,45,35,30,365620.5,479122.29,226239.57,1301197.14,2070171.91,1688189.57,0
164,16,54.3,M       ,MED     ,1200,CAS     ,50,55,47,60,15640348.35,2964397.5,752724.29,6190409.05,2956186.19,2711527.83,0
165,97,60.8,F       ,UNV     ,254,CAS     ,50,14,16,9,371342.9,582346.25,477313.0,191039.67,1955974.29,0.0,1
166,227,54.1,M       ,UNV     ,788,CAS     ,33,46,42,31,93379.62,37285.1,49844.86,45665.95,425113.33,0.0,1
167,98,56.6,M       ,MED     ,745,CAS     ,101,38,38,37,490500.75,378467.29,423252.86,676937.14,1255534.76,2165148.7,0
168,234,33.7,M       ,TEC     ,407,CAS     ,18,28,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1
169,89,,F       ,TEC     ,740,SOL     ,69,45,45,48,343213.35,233663.4,915858.29,2111268.1,2955567.14,352145.22,0
170,291,55.6,M       ,MED     ,448,CAS     ,17,32,27,45,649518.15,335700.0,715817.14,1931460.95,1271274.76,1296447.39,0
171,93,52.8,M       ,UNV     ,900,CAS     ,40,14,16,45,892575.38,604374.2,344176.6,407718.19,138438.1,0.0,1
172,105,52.4,M       ,MED     ,436,CAS     ,104,32,32,36,-6353.1,80224.35,26353.29,50699.52,59865.24,12938.26,0
173,314,64.8,F       ,MED     ,336,CAS     ,61,18,5,8,4886.86,-1211.5,-14755.3,-2356.95,-27735.71,-282940.95,1
174,70,57.3,M       ,TEC     ,600,CAS     ,9,3,3,3,27945.3,29945.57,56385.43,160404.0,141749.14,125324.09,0
175,226,56.3,M       ,TEC     ,350,SOL     ,30,27,20,22,4413919.05,3270135.57,1915878.14,3584913.33,2727424.76,2878418.26,0
176,88,47.6,F       ,MED     ,450,CAS     ,59,93,69,88,180769.95,154762.5,106863.14,608787.62,496462.38,408657.83,0
177,284,52.8,M       ,UNV     ,854,CAS     ,49,30,107,79,810.29,153310.85,20999.65,2920.05,342294.76,0.0,1
178,80,,M       ,TEC     ,1280,SOL     ,45,91,84,105,973919.1,2464765.95,2940654.0,11489380.0,9040376.19,3618100.44,0
179,87,46.7,M       ,UNV     ,1700,CAS     ,84,38,26,34,635571.76,707285.4,419682.52,366583.86,4858411.43,0.0,1
180,93,55.9,M       ,TEC     ,542,CAS     ,15,33,14,30,373260.0,335488.0,733177.43,3755784.76,2234205.71,2384936.52,0
181,11,49.2,M       ,MED     ,650,CAS     ,4,31,34,40,0.0,0.0,193000.0,126768.95,113059.52,75048.48,1
182,131,52.4,M       ,UNV     ,560,CAS     ,38,18,21,14,543494.85,301963.29,251444.14,1694466.19,6551054.76,7811330.44,0
183,86,51.1,F       ,TEC     ,367,SOL     ,168,28,23,25,392364.15,302470.57,2784901.86,2140505.24,1119497.14,1310619.57,0
184,85,53.7,M       ,UNV     ,1800,CAS     ,131,97,99,89,2675993.4,1119158.85,926446.86,3024153.81,1486121.91,906775.65,0
185,86,51.3,M       ,UNV     ,700,CAS     ,177,7,4,16,0.0,50924.0,1800.0,95794.29,45878.1,0.0,0
186,81,53.4,M       ,UNV     ,779,CAS     ,7,12,7,34,41153.81,38845.65,219912.1,315848.95,1409.52,0.0,1
187,164,53.3,M       ,UNV     ,587,CAS     ,30,2,10,9,16291.24,46730.5,31460.95,15116.48,0.0,0.0,1
188,91,56.7,M       ,TEC     ,523,CAS     ,25,27,18,16,804374.7,917857.0,996354.0,4168097.62,5161470.0,5977748.7,0
189,226,56.1,M       ,MED     ,1070,CAS     ,27,223,142,193,245601.9,592841.71,495449.57,769930.48,1546349.52,700307.83,0
190,193,56.0,M       ,MED     ,1200,CAS     ,89,107,54,80,1289727.0,1261928.7,994568.57,734891.91,4165153.81,3258248.7,0
191,13,49.9,M       ,TEC     ,650,CAS     ,128,61,74,83,1231616.1,305357.4,130504.57,302487.62,635338.1,356442.17,0
192,272,56.0,M       ,UNV     ,450,CAS     ,135,64,34,52,3875024.4,3019748.25,5279077.57,25272820.95,24491209.05,33649498.7,0
193,29,58.0,F       ,MED     ,600,CAS     ,105,18,12,20,2546294.7,2931861.29,2045620.86,4318100.48,6598672.86,6942945.22,0
194,93,55.3,M       ,TEC     ,928,VIU     ,15,25,11,5,930343.05,687066.9,581710.57,5449394.76,7217650.95,2854986.09,0
195,100,50.4,M       ,MED     ,418,CAS     ,30,32,39,28,0.0,0.0,0.0,14338508.57,15734389.52,13970576.52,0
196,272,52.6,M       ,UNV     ,600,CAS     ,47,4,3,12,3362663.71,3623928.0,3470712.5,1758760.14,4390350.0,0.0,1
197,100,54.2,M       ,MED     ,1088,CAS     ,70,46,54,40,1713304.35,3595744.0,1319416.71,4219585.71,3704001.43,2081671.74,0
198,80,51.8,M       ,MED     ,690,CAS     ,38,30,39,48,520391.1,769545.29,30558.29,4217190.48,880068.57,265927.83,0
199,13,50.7,F       ,TEC     ,600,CAS     ,69,16,22,21,2824327.8,3356732.4,3589346.0,10988331.43,11020107.14,10018101.3,0
200,79,54.4,F       ,TEC     ,420,CAS     ,17,22,32,11,3214018.35,6365280.57,5435609.0,25962174.76,21919966.19,18345132.61,0
201,326,51.6,M       ,TEC     ,1525,CAS     ,88,4,7,11,357932.57,338868.7,370239.24,303718.1,1409033.33,402065.71,1
202,119,53.2,M       ,MED     ,700,CAS     ,30,14,21,13,262352.4,417465.0,224694.57,1227810.95,1239799.52,865697.39,0
